technology,parameter,value,unit,source,further description,currency_year,financial_case,scenario
Residential PV - Class 7,investment,2743.333,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Residential PV - Class 7,CF,0.1435162478155701,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Residential PV - Class 7,FOM,1.07,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Residential PV - Class 8,investment,2743.333,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Residential PV - Class 8,CF,0.1367137963714992,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Residential PV - Class 8,FOM,1.07,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Residential PV - Class 9,investment,2743.333,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Residential PV - Class 9,CF,0.1312718403635866,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Residential PV - Class 9,FOM,1.07,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 10,investment,1333.2622854273138,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 10,CF,0.1860126281073087,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 10,FOM,1.7,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
solar-utility,investment,1333.2622854273138,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
solar-utility,CF,0.2983528432893143,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
solar-utility,FOM,1.7,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 2,investment,1333.2622854273138,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 2,CF,0.2893971475551488,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 2,FOM,1.7,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 3,investment,1333.2622854273138,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 3,CF,0.2760042595668902,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 3,FOM,1.7,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 4,investment,1333.2622854273138,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 4,CF,0.2608403996803086,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 4,FOM,1.7,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 5,investment,1333.2622854273138,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 5,CF,0.2436854048853194,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 5,FOM,1.7,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 6,investment,1333.2622854273138,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 6,CF,0.2348210354848339,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 6,FOM,1.7,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 7,investment,1333.2622854273138,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 7,CF,0.2234837956321642,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 7,FOM,1.7,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 8,investment,1333.2622854273138,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 8,CF,0.2128941955460827,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 8,FOM,1.7,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 9,investment,1333.2622854273138,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 9,CF,0.2025026268842207,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Utility PV - Class 9,FOM,1.7,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 10,investment,2044.0312282840785,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 10,CF,0.1975298694866191,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 10,FOM,1.9,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 1,investment,2044.0312282840785,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 1,CF,0.3098700846686246,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 1,FOM,1.78,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 2,investment,2044.0312282840785,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 2,CF,0.3009143889344591,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 2,FOM,1.78,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 3,investment,2044.0312282840785,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 3,CF,0.2875215009462005,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 3,FOM,1.78,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 4,investment,2044.0312282840785,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 4,CF,0.2723576410596189,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 4,FOM,1.78,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 5,investment,2044.0312282840785,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 5,CF,0.2552026462646298,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 5,FOM,1.78,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 6,investment,2044.0312282840785,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 6,CF,0.2463382768641442,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 6,FOM,1.9,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 7,investment,2044.0312282840785,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 7,CF,0.2350010370114745,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 7,FOM,1.9,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 8,investment,2044.0312282840785,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 8,CF,0.224411436925393,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 8,FOM,1.9,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 9,investment,2044.0312282840785,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 9,CF,0.214019868263531,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
PV+Storage - Class 9,FOM,1.9,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,Market,Moderate
Commercial Battery Storage 1Hr,investment,1251.6137527579008,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 1Hr,CF,0.083,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 1Hr,FOM,2.5,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 2Hr,investment,1575.1586889210882,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 2Hr,CF,0.1669999999999999,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 2Hr,FOM,2.5,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 4Hr,investment,2222.248561247463,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 4Hr,CF,0.249,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 4Hr,FOM,2.5,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 6Hr,investment,2869.338433573838,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 6Hr,CF,0.332,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 6Hr,FOM,2.5,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 8Hr,investment,3516.428305900213,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 8Hr,CF,0.415,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Commercial Battery Storage 8Hr,FOM,2.5,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 10,investment,3924.7816014926607,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 10,FOM,0.45,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 10,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
PHS,investment,1998.5284961011564,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 11,investment,4109.431948830713,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
PHS,FOM,0.89,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 11,FOM,0.43,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
PHS,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 11,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 12,investment,4309.877511002766,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 2,investment,2395.739993958454,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 12,FOM,0.41,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 2,FOM,0.74,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 12,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 2,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 13,investment,4554.144079517727,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 3,investment,2640.048376410765,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 13,FOM,0.39,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 3,FOM,0.67,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 13,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 3,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 14,investment,4864.6021108579,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 4,investment,2852.3063758842222,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 14,FOM,0.37,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 4,FOM,0.62,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 14,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 4,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 15,investment,5504.93029395303,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 5,investment,3055.8879833575334,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 15,FOM,0.32,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 5,FOM,0.58,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 15,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 5,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 6,investment,3229.5308116881706,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 6,FOM,0.55,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 6,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 7,investment,3404.062186187498,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 7,FOM,0.52,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 7,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 8,investment,3577.997712079587,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 8,FOM,0.5,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
Pumped Storage Hydropower - National Class 8,VOM,0.5125,USD/MWh,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Advanced
